Timestamp,Open,High,Low,Close,Volume
2020-07-09,246.94,247.9,237.88,241.98,647641.58291
2020-07-10,241.97,242.16,235.72,241.26,455025.12385
2020-07-11,241.27,241.67,237.54,239.19,294476.00626
2020-07-12,239.19,244.0,236.52,242.79,469315.1172
2020-07-13,242.76,245.33,237.33,239.5,604093.04245
2020-07-14,239.5,242.09,237.0,240.44,426320.89188
2020-07-15,240.45,241.45,236.83,238.61,368350.66518
2020-07-16,238.59,239.39,230.02,233.57,587161.73894
2020-07-17,233.58,234.84,231.65,232.67,325600.21444
2020-07-18,232.66,236.8,232.32,235.67,341356.6182
2020-07-19,235.67,239.92,233.28,239.11,348803.52073
2020-07-20,239.12,239.72,234.05,236.01,396657.91938
2020-07-21,236.0,246.66,235.57,245.59,637462.08074
2020-07-22,245.53,269.61,241.51,263.74,718417.68296
2020-07-23,263.75,279.98,259.7,275.3,1068774.57879
2020-07-24,275.31,287.34,266.0,279.15,926033.06692
2020-07-25,279.15,308.94,279.09,305.26,1058927.30554
2020-07-26,305.31,318.75,299.0,311.0,1270368.753
2020-07-27,311.02,333.31,310.78,321.93,1636122.34727
2020-07-28,321.95,326.8,305.86,316.77,1093231.55578
2020-07-29,316.77,325.0,312.38,317.71,792802.32148
2020-07-30,317.76,342.0,314.05,334.87,1008827.56698
2020-07-31,334.82,349.45,328.4,346.33,948088.44982
2020-08-01,346.32,392.67,343.07,387.0,1440843.34203
2020-08-02,387.01,415.85,325.0,372.42,2324909.09616
2020-08-03,372.45,398.0,366.5,385.94,1191565.09389
2020-08-04,385.91,402.98,380.77,389.61,1180792.42379
2020-08-05,389.59,407.0,384.11,400.72,1124119.0672
2020-08-06,400.72,403.66,390.51,394.77,821379.08397
2020-08-07,394.77,398.26,362.85,379.34,1041207.35946
2020-08-08,379.34,397.05,375.79,397.03,623029.78053
2020-08-09,397.05,400.0,383.36,390.14,594900.58133
2020-08-10,390.14,399.18,385.13,395.44,826969.90633
2020-08-11,395.43,398.21,367.0,379.0,992412.6023
2020-08-12,378.99,389.23,365.85,387.18,751848.7983
2020-08-13,387.18,431.49,376.59,424.54,1511330.7732
2020-08-14,424.54,444.71,417.05,438.11,1109670.94324
2020-08-15,438.12,442.94,427.02,432.32,681698.5971
2020-08-16,432.3,436.99,412.47,433.62,716666.25258
2020-08-17,433.61,446.0,420.37,430.89,868870.64996
2020-08-18,430.89,433.81,415.0,421.95,743254.57018
2020-08-19,421.92,426.75,393.25,407.46,978339.69221
2020-08-20,407.46,418.98,402.07,415.94,663555.73445
2020-08-21,415.94,418.68,385.1,387.97,860998.7256
2020-08-22,387.93,397.04,379.92,395.24,643235.76543
2020-08-23,395.23,396.95,383.15,390.71,445317.81989
2020-08-24,390.72,410.42,387.44,407.68,717403.81877
2020-08-25,407.68,409.06,370.0,382.93,970445.38395
2020-08-26,382.91,392.91,377.37,385.81,738690.7794
2020-08-27,385.81,397.1,371.48,383.27,877763.73658
2020-08-28,383.31,398.0,379.75,395.11,732601.46905
2020-08-29,395.1,405.69,391.88,398.65,659802.63344
2020-08-30,398.65,429.89,398.3,428.94,894979.71788
2020-08-31,428.94,439.0,418.04,433.79,1040748.68881
2020-09-01,433.8,488.84,429.03,475.4,1751354.57719
2020-09-02,475.4,481.39,420.0,439.5,1880642.46853
2020-09-03,439.5,450.7,372.0,381.4,2408569.34151
2020-09-04,381.35,400.21,357.0,385.26,1806488.22474
2020-09-05,385.3,395.0,308.42,335.01,2777166.51389
2020-09-06,335.04,360.0,316.1,352.8,2017811.14721
2020-09-07,352.85,358.51,323.0,353.59,1740618.42462
2020-09-08,353.59,356.58,325.38,337.39,1400246.82962
2020-09-09,337.41,359.0,330.51,350.85,879760.56255
2020-09-10,350.85,377.25,349.91,367.93,1134287.61137
2020-09-11,367.93,375.27,355.49,373.63,844017.59966
2020-09-12,373.62,388.57,364.73,387.78,766542.31635
2020-09-13,387.78,390.43,350.0,366.42,989195.69047
2020-09-14,366.43,384.64,355.73,377.12,1042059.62265
2020-09-15,377.12,382.47,362.34,364.06,883856.33005
2020-09-16,364.05,373.45,355.0,365.11,841709.98939
2020-09-17,365.04,394.14,363.3,389.36,1256300.411
2020-09-18,389.35,392.58,375.33,384.39,804194.47219
2020-09-19,384.4,388.72,377.0,385.25,570908.33553
2020-09-20,385.25,385.45,365.0,371.04,693164.40144
2020-09-21,371.04,376.8,331.0,340.36,1283946.03098
2020-09-22,340.31,346.91,335.34,344.21,842731.12878
2020-09-23,344.18,344.65,313.29,320.72,940904.49756
2020-09-24,320.72,353.1,316.67,348.97,1071705.09721
2020-09-25,348.97,358.0,337.58,351.92,860643.77924
2020-09-26,351.93,356.4,345.88,353.92,530879.20755
2020-09-27,353.95,362.14,347.24,357.49,569568.55041
2020-09-28,357.58,368.2,351.7,353.96,757758.4304
2020-09-29,353.91,360.63,350.45,359.79,585143.16892
2020-09-30,359.78,361.5,351.56,359.83,498943.23226
2020-10-01,359.83,370.45,345.51,352.85,758349.31959
2020-10-02,352.83,354.55,334.24,345.6,733571.84211
2020-10-03,345.6,351.0,343.7,345.95,303595.71901
2020-10-04,345.94,354.45,343.81,352.37,343932.91712
2020-10-05,352.34,356.1,348.54,353.62,376740.30692
2020-10-06,353.63,355.1,336.8,340.75,640063.26951
2020-10-07,340.8,342.85,332.18,341.58,541928.86376
2020-10-08,341.58,353.32,334.21,350.95,631794.8756
2020-10-09,350.94,368.33,347.32,365.02,650478.19338
2020-10-10,365.01,378.4,364.71,370.52,591005.32129
2020-10-11,370.51,377.6,368.87,374.16,373318.23779
2020-10-12,374.17,394.8,365.58,386.51,844422.65444
2020-10-13,386.51,387.75,374.51,381.04,645141.91394
2020-10-14,381.05,387.41,373.13,378.69,569557.82936
2020-10-15,378.69,381.79,369.85,377.64,634038.09453
2020-10-16,377.63,379.83,361.18,365.5,654029.36404
